,unidad_academica,nro_inscripcion,carrera,regular,cnt_readmisiones,calidad,anio_plan_estudios,fecha_ingreso_alumno
148,FCEQN,728,104,S,1.0,A,2007.0,04/20/2011
149,FCEQN,FCEQN-4951,172,S,1.0,A,2007.0,04/24/2011
150,FCEQN,FCEQN-4987,102,N,2.0,P,2003.0,04/24/2011
151,FCEQN,FCEQN-5011,143,S,1.0,P,2005.0,04/25/2011
152,FCEQN,FCEQN-5025,102,N,1.0,P,2004.0,04/25/2011
153,FCEQN,FCEQN-5111,104,N,1.0,P,2005.0,04/26/2011
154,FCEQN,FCEQN-5113,104,N,0.0,A,2003.0,04/26/2011
155,FCEQN,FCEQN-5115,147,S,2.0,P,2006.0,04/27/2011
156,FCEQN,FCEQN-5117,SAC,N,0.0,P,2010.0,04/24/2011
157,FCEQN,FCEQN-5122,172,S,0.0,P,2000.0,04/27/2011
158,FCEQN,FCEQN-5129,104,S,0.0,P,,04/28/2011
159,FCEQN,FCEQN-5131,102,N,1.0,A,2014.0,04/28/2011
160,FCEQN,FCEQN-5135,147,N,0.0,P,2010.0,04/28/2011
161,FCEQN,FCEQN-5144,104,S,2.0,P,2010.0,02/06/2003
162,FCEQN,FCEQN-5145,SAC,N,0.0,P,2012.0,12/16/1997
163,FCEQN,FCEQN-5148,104,N,0.0,P,2011.0,05/15/2011
164,FCEQN,FCEQN-5152,147,N,2.0,A,2008.0,12/21/2006
165,FCEQN,FCEQN-5161,147,N,1.0,P,2008.0,02/19/2004
166,FCEQN,FCEQN-5162,104,S,1.0,P,,03/01/1992
167,FCEQN,FCEQN-5163,147,N,2.0,P,2010.0,04/26/2005
168,FCEQN,FCEQN-5165,SAC,S,0.0,A,2010.0,11/28/2011
169,FCEQN,FCEQN-5170,172,S,2.0,P,2000.0,11/28/2011
170,FCEQN,FCEQN-5171,102,S,1.0,P,2009.0,11/29/2011
171,FCEQN,FCEQN-5182,104,N,2.0,P,2004.0,11/30/2011
172,FCEQN,FCEQN-5183,102,S,1.0,A,,12/01/2011
173,FCEQN,FCEQN-5202,SAC,S,0.0,P,,12/01/2011
174,FCEQN,FCEQN-5206,SAC,S,0.0,A,2009.0,12/01/2011
175,FCEQN,FCEQN-5208,101,S,2.0,A,2014.0,12/01/2011
176,FCEQN,FCEQN-5217,SAC,S,1.0,A,2008.0,12/01/2011
177,FCEQN,FCEQN-5218,SAC,N,1.0,P,2006.0,12/01/2011
178,FCEQN,FCEQN-5220,143,S,1.0,A,2014.0,12/01/2011
179,FCEQN,FCEQN-5221,104,S,1.0,A,2012.0,12/04/2011
180,FCEQN,FCEQN-5235,102,N,1.0,P,2006.0,12/04/2011
181,FCEQN,FCEQN-5239,172,S,0.0,A,2006.0,12/04/2011
182,FCEQN,FCEQN-5244,104,S,1.0,A,2008.0,12/04/2011
183,FCEQN,FCEQN-5248,147,N,1.0,A,2009.0,12/05/2011
184,FCEQN,FCEQN-5250,104,N,1.0,P,2004.0,12/05/2011
185,FCEQN,FCEQN-5251,172,N,1.0,P,2007.0,12/05/2011
186,FCEQN,FCEQN-5257,104,S,1.0,P,2011.0,12/05/2011
187,FCEQN,FCEQN-5261,104,N,0.0,P,2010.0,12/05/2011
188,FCEQN,FCEQN-5263,102,N,2.0,P,2012.0,12/05/2011
189,FCEQN,FCEQN-5262,170,N,1.0,P,2004.0,12/05/2011
190,FCEQN,FCEQN-5265,104,S,1.0,P,2003.0,12/05/2011
191,FCEQN,FCEQN-5267,172,S,2.0,P,2011.0,12/05/2011
192,FCEQN,FCEQN-5268,143,S,1.0,P,2010.0,12/05/2011
193,FCEQN,FCEQN-5269,147,N,1.0,P,2012.0,03/01/2001
194,FCEQN,FCEQN-5272,147,N,0.0,A,2008.0,12/05/2011
195,FCEQN,FCEQN-5276,SAC,N,0.0,A,2000.0,12/05/2011
196,FCEQN,FCEQN-5282,102,S,2.0,P,2006.0,12/06/2011
197,FCEQN,FCEQN-5286,104,S,2.0,P,2008.0,12/06/2011
198,FCEQN,FCEQN-5287,104,N,1.0,P,2000.0,12/06/2011
199,FCEQN,FCEQN-5300,SAC,N,1.0,P,2007.0,12/06/2011
200,FCEQN,FCEQN-5302,SAC,N,0.0,P,2003.0,12/06/2011
201,FCEQN,FCEQN-5304,SAC,N,0.0,A,2006.0,12/06/2011
202,FCEQN,FCEQN-5305,172,S,1.0,P,2009.0,12/06/2011
203,FCEQN,FCEQN-5307,SAC,S,1.0,A,2007.0,12/07/2011
204,FCEQN,FCEQN-5308,SAC,N,1.0,A,2000.0,12/07/2011
205,FCEQN,FCEQN-5311,147,S,0.0,A,2010.0,12/07/2011
206,FCEQN,FCEQN-5313,SAC,N,0.0,A,2005.0,12/07/2011
207,FCEQN,FCEQN-5317,104,S,1.0,P,2009.0,12/07/2011
208,FCEQN,FCEQN-5318,102,N,1.0,P,2006.0,12/07/2011
209,FCEQN,FCEQN-5319,104,N,0.0,A,2006.0,12/07/2011
210,FCEQN,FCEQN-5320,SAC,S,2.0,A,2007.0,12/07/2011
211,FCEQN,FCEQN-5325,147,S,0.0,A,2012.0,12/07/2011
212,FCEQN,FCEQN-5339,104,N,1.0,P,2014.0,12/11/2011
213,FCEQN,FCEQN-5343,147,S,1.0,P,2014.0,12/11/2011
214,FCEQN,FCEQN-5345,104,S,2.0,A,2011.0,12/11/2011
215,FCEQN,FCEQN-5356,SAC,S,1.0,A,2011.0,12/11/2011
216,FCEQN,FCEQN-5357,172,S,0.0,P,2000.0,12/11/2011
217,FCEQN,FCEQN-5363,106,S,2.0,A,2008.0,12/11/2011
218,FCEQN,FCEQN-5368,SAC,S,1.0,P,2000.0,12/11/2011
219,FCEQN,FCEQN-5373,SAC,S,2.0,P,2004.0,11/28/2011
220,FCEQN,FCEQN-5374,SAC,S,1.0,P,2005.0,12/11/2011
221,FCEQN,FCEQN-5375,SAC,S,2.0,P,2008.0,12/11/2011
222,FCEQN,FCEQN-5376,SAC,N,0.0,P,2007.0,12/11/2011
223,FCEQN,FCEQN-5377,SAC,N,1.0,A,2012.0,12/13/2011
224,FCEQN,FCEQN-5380,SAC,N,0.0,A,2004.0,12/13/2011
225,FCEQN,FCEQN-5381,105,S,0.0,A,2004.0,12/13/2011
226,FCEQN,FCEQN-5388,172,N,0.0,P,2007.0,12/13/2011
227,FCEQN,FCEQN-5402,172,S,0.0,A,2005.0,12/13/2011
228,FCEQN,FCEQN-5412,147,N,2.0,P,2005.0,12/13/2011
229,FCEQN,FCEQN-5416,147,S,2.0,A,2010.0,12/13/2011
230,FCEQN,FCEQN-5421,101,S,2.0,P,2008.0,12/13/2011
231,FCEQN,FCEQN-5424,104,N,2.0,A,2003.0,12/13/2011
232,FCEQN,FCEQN-5428,104,S,0.0,P,2012.0,12/13/2011
233,FCEQN,FCEQN-5429,147,N,2.0,P,,12/13/2011
234,FCEQN,FCEQN-5434,SAC,N,0.0,A,,12/13/2011
235,FCEQN,FCEQN-5436,101,S,1.0,P,2003.0,12/13/2011
236,FCEQN,FCEQN-5444,102,S,1.0,P,2010.0,12/13/2011
237,FCEQN,FCEQN-5446,SAC,S,2.0,A,2011.0,12/13/2011
238,FCEQN,FCEQN-5455,104,S,1.0,P,2012.0,12/13/2011
239,FCEQN,FCEQN-5460,SAC,S,2.0,A,,12/13/2011
240,FCEQN,FCEQN-5463,104,N,0.0,A,2000.0,12/13/2011
241,FCEQN,FCEQN-5484,SAC,N,2.0,P,2005.0,12/13/2011
242,FCEQN,FCEQN-5485,101,S,2.0,P,2009.0,12/13/2011
243,FCEQN,FCEQN-5487,102,S,1.0,A,2004.0,12/13/2011
244,FCEQN,FCEQN-5501,170,S,1.0,A,2007.0,12/13/2011
245,FCEQN,FCEQN-5504,104,N,0.0,A,2012.0,12/13/2011
246,FCEQN,FCEQN-5506,147,S,1.0,P,2000.0,12/13/2011
247,FCEQN,FCEQN-5521,102,N,1.0,P,2003.0,12/13/2011
248,FCEQN,FCEQN-5522,SAC,S,1.0,P,2008.0,12/13/2011
249,FCEQN,FCEQN-5525,104,S,0.0,A,2009.0,12/14/2011
250,FCEQN,FCEQN-5532,SAC,S,0.0,P,2007.0,12/14/2011
251,FCEQN,FCEQN-5536,104,S,2.0,A,2009.0,12/15/2011
252,FCEQN,FCEQN-5543,104,S,2.0,A,2003.0,12/15/2011
253,FCEQN,FCEQN-5551,147,S,1.0,A,2009.0,12/19/2011
254,FCEQN,FCEQN-5565,172,S,2.0,P,2000.0,12/26/2011
255,FCEQN,FCEQN-5567,147,N,1.0,P,2003.0,12/05/2011
256,FCEQN,FCEQN-5570,102,S,0.0,P,2007.0,12/05/2011
257,FCEQN,FCEQN-5571,172,N,1.0,A,2008.0,02/19/2004
258,FCEQN,FCEQN-5578,102,S,1.0,A,2012.0,01/26/1999
259,FCEQN,FCEQN-5580,SAC,S,1.0,P,2007.0,03/23/2012
260,FCEQN,FCEQN-5595,102,N,2.0,P,2005.0,12/13/2011
261,FCEQN,FCEQN-5606,101,S,0.0,A,2004.0,04/06/2010
262,FCEQN,FCEQN-5612,147,N,1.0,P,2006.0,12/18/2006
263,FCEQN,FCEQN-5614,172,S,1.0,A,2003.0,12/12/2011
264,FCEQN,FCEQN-5615,SAC,N,0.0,A,2014.0,02/01/2012
265,FCEQN,FCEQN-5622,147,N,2.0,P,2003.0,12/07/2011
266,FCEQN,FCEQN-5625,102,N,0.0,P,,12/19/2011
267,FCEQN,FCEQN-5627,147,S,0.0,A,2003.0,12/05/2011
268,FCEQN,FCEQN-5631,147,N,2.0,P,2010.0,12/11/2011
269,FCEQN,FCEQN-5324,102,S,2.0,A,,04/20/2011
270,FCEQN,FCEQN-5641,SAC,N,1.0,P,2014.0,12/06/2011
271,FCEQN,FCEQN-5652,170,N,2.0,A,2004.0,04/12/2012
272,FCEQN,FCEQN-5679,102,N,1.0,A,2007.0,04/12/2012
273,FCEQN,FCEQN-5686,104,N,1.0,P,2000.0,04/12/2012
274,FCEQN,FCEQN-5696,147,N,1.0,P,2004.0,12/07/2011
275,FCEQN,FCEQN-5698,SAC,S,1.0,A,2004.0,04/12/2012
276,FCEQN,FCEQN-5703,106,N,1.0,A,2003.0,02/02/2012
277,FCEQN,FCEQN-5704,172,N,1.0,P,2003.0,12/12/2011
278,FCEQN,FCEQN-5705,172,N,1.0,A,2014.0,12/14/2011
279,FCEQN,FCEQN-5706,102,S,1.0,A,2004.0,02/07/2012
280,FCEQN,FCEQN-5712,147,S,2.0,A,2005.0,12/05/2010
281,FCEQN,FCEQN-5716,SAC,S,2.0,P,2003.0,04/13/2012
282,FCEQN,FCEQN-2334,102,S,0.0,P,2011.0,12/12/2011
283,FCEQN,FCEQN-5720,172,S,1.0,P,2004.0,12/01/2011
284,FCEQN,FCEQN-5725,147,N,2.0,A,2010.0,12/01/2011
285,FCEQN,FCEQN-5727,172,N,1.0,P,2004.0,12/19/2011
286,FCEQN,FCEQN-5728,101,S,2.0,A,2000.0,12/14/2011
287,FCEQN,FCEQN-5734,147,S,0.0,A,2003.0,12/14/2011
288,FCEQN,FCEQN-5735,172,S,2.0,P,2010.0,12/06/2011
289,FCEQN,FCEQN-5738,106,S,1.0,P,2008.0,12/14/2011
290,FCEQN,FCEQN-5741,102,S,1.0,A,2004.0,11/29/2011
291,FCEQN,FCEQN-5385,106,N,1.0,A,2011.0,11/29/2011
292,FCEQN,FCEQN-5757,101,S,1.0,P,,12/06/2011
293,FCEQN,FCEQN-5761,SAC,S,2.0,A,2005.0,04/13/2012
294,FCEQN,FCEQN-5762,172,S,1.0,A,2007.0,12/14/2011
295,FCEQN,FCEQN-5767,SAC,S,1.0,A,2010.0,04/13/2012
296,FCEQN,FCEQN-5367,106,N,2.0,A,2010.0,12/13/2011
297,FCEQN,989,114,N,1.0,P,2008.0,12/11/2011
298,FCEQN,FCEQN-5773,104,S,1.0,P,2003.0,04/13/2012
299,FCEQN,FCEQN-5168,147,S,1.0,P,2012.0,04/13/2012
300,FCEQN,FCEQN-5774,147,S,1.0,P,2014.0,04/13/2012
301,FCEQN,FCEQN-5775,147,N,1.0,P,2009.0,12/14/2011
302,FCEQN,FCEQN-5776,147,N,2.0,A,2011.0,12/12/2011
303,FCEQN,FCEQN-5576,SAC,S,2.0,P,2008.0,12/11/2011
304,FCEQN,FCEQN-5624,101,S,2.0,A,2008.0,12/05/2011
305,FCEQN,FCEQN-4891,102,S,1.0,P,2010.0,12/28/2011
306,FCEQN,FCEQN-5782,172,N,2.0,A,2003.0,12/06/2011
307,FCEQN,FCEQN-5747,172,N,1.0,A,2003.0,12/19/2011
308,FCEQN,FCEQN-4621,106,N,1.0,P,2006.0,12/13/2011
309,FCEQN,FCEQN-5783,147,N,0.0,P,2006.0,11/28/2011
310,FCEQN,FCEQN-5392,104,S,0.0,A,2000.0,07/20/1989
311,FCEQN,FCEQN-5155,104,N,0.0,P,2012.0,12/05/2011
312,FCEQN,FCEQN-5281,172,N,0.0,A,2005.0,12/13/2011
313,FCEQN,FCEQN-5190,147,S,0.0,P,2008.0,12/06/2011
314,FCEQN,FCEQN-5784,104,N,1.0,P,2000.0,12/06/2011
315,FCEQN,FCEQN-5417,170,N,0.0,A,2003.0,12/13/2011
316,FCEQN,FCEQN-5387,SAC,N,1.0,P,2010.0,11/30/2011
317,FCEQN,FCEQN-5572,104,N,2.0,A,2009.0,12/15/2011
318,FCEQN,FCEQN-5228,106,S,1.0,A,2012.0,03/01/1991
319,FCEQN,FCEQN-5489,104,S,2.0,P,2006.0,12/15/2011
320,FCEQN,FCEQN-5478,104,N,0.0,P,2003.0,02/06/2012
321,FCEQN,FCEQN-5792,102,S,1.0,P,2014.0,12/05/2011
322,FCEQN,FCEQN-5793,102,S,2.0,A,2009.0,12/01/2011
323,FCEQN,FCEQN-5456,102,S,1.0,A,2014.0,12/19/2011
324,FCEQN,FCEQN-5619,147,N,1.0,P,2003.0,12/06/2011
325,FCEQN,FCEQN-5723,147,S,0.0,A,2011.0,02/13/2012
326,FCEQN,FCEQN-5420,102,S,1.0,A,,12/13/2011
327,FCEQN,FCEQN-5467,102,S,2.0,A,2010.0,12/13/2011
328,FCEQN,FCEQN-5645,102,N,1.0,A,2007.0,12/13/2011
329,FCEQN,FCEQN-5348,101,S,1.0,A,2007.0,11/30/2011
330,FCEQN,FCEQN-5722,147,S,2.0,A,2003.0,12/18/2011
331,FCEQN,FCEQN-5628,102,S,1.0,A,2011.0,02/01/2012
332,FCEQN,FCEQN-5166,102,S,2.0,P,2009.0,02/02/2012
333,FCEQN,FCEQN-5474,147,N,1.0,P,2012.0,02/02/2012
334,FCEQN,FCEQN-5799,143,N,2.0,P,2011.0,12/12/2011
335,FCEQN,FCEQN-5750,SAC,N,1.0,P,2010.0,12/14/2011
336,FCEQN,FCEQN-5472,104,N,1.0,P,,12/06/2011
337,FCEQN,FCEQN-5469,104,N,0.0,P,2000.0,12/06/2011
338,FCEQN,FCEQN-5800,143,N,1.0,P,2000.0,12/04/2011
339,FCEQN,FCEQN-5717,104,N,2.0,P,2014.0,12/04/2011
340,FCEQN,FCEQN-5245,102,S,1.0,A,2004.0,12/15/2011
341,FCEQN,FCEQN-5214,104,S,1.0,A,2012.0,12/12/2011
342,FCEQN,FCEQN-5730,104,S,0.0,A,,12/14/2011
343,FCEQN,FCEQN-5592,147,S,1.0,P,2014.0,12/04/2011
344,FCEQN,FCEQN-5694,102,S,0.0,A,2008.0,12/06/2011
345,FCEQN,FCEQN-5293,147,N,2.0,A,2007.0,02/01/2012
346,FCEQN,FCEQN-5483,106,S,1.0,A,2003.0,05/10/2012
347,FCEQN,FCEQN-5279,102,N,0.0,P,2005.0,12/13/2011
348,FCEQN,1057,104,S,1.0,P,,05/14/2012
349,FCEQN,FCEQN-5198,147,S,1.0,P,2004.0,05/16/2012
350,FCEQN,FCEQN-5188,104,N,2.0,P,2005.0,12/15/2011
351,FCEQN,4996,114,N,2.0,P,2014.0,12/12/2011
352,FCEQN,FCEQN-5807,114,N,2.0,P,2014.0,12/19/2011
353,FCEQN,FCEQN-5169,104,S,2.0,A,2000.0,12/14/2011
354,FCEQN,FCEQN-5733,147,N,0.0,P,2012.0,12/12/2011
355,FCEQN,FCEQN-5808,114,N,1.0,P,2007.0,12/15/2011
356,FCEQN,FCEQN-5433,147,N,1.0,P,2004.0,12/12/2011
357,FCEQN,FCEQN-5697,172,N,0.0,A,2008.0,01/30/2012
358,FCEQN,FCEQN-5620,SAC,S,1.0,A,2005.0,12/14/2011
359,FCEQN,FCEQN-5765,SAC,N,0.0,P,2006.0,12/13/2011
360,FCEQN,FCEQN-5495,SAC,N,0.0,P,2000.0,01/30/2012
361,FCEQN,FCEQN-5390,SAC,S,2.0,P,2014.0,12/12/2011
362,FCEQN,FCEQN-5297,SAC,S,0.0,A,2012.0,12/05/2011
